DEPTH,AT10,DTCO,DTSM,GR,NPHI,PR,RHOZ
693.42,7.844,156.0565,469.2656,54.2859,0.676,0.4378,4.5631
693.5724,5.6403,155.0785,446.2663,51.097,0.6532,0.4313,4.565
693.7248,4.4515,153.834,436.978,47.0366,0.639,0.4293,4.5756
693.8772,3.7969,151.9469,432.6328,50.5397,0.5794,0.4296,4.5771
694.0296,3.449,150.8684,425.2656,51.5477,0.5466,0.428,4.578
694.182,3.3094,150.4201,430.1222,48.8775,0.4702,0.4303,4.5722
694.3344,3.3301,150.0565,429.4722,47.5017,0.4546,0.4305,4.2967
694.4868,3.4759,150.6143,429.1339,45.284,0.4852,0.4298,4.3026
694.6392,3.7018,150.8809,430.4885,47.9542,0.5183,0.43,4.3208
694.7916,3.9379,151.2163,432.6164,48.3574,0.5338,0.4304,4.6103
694.944,4.0959,152.1942,437.3571,48.53,0.5589,0.4311,4.613
695.0964,4.0992,152.6708,435.733,49.5663,0.5502,0.43,4.5972
695.2488,3.9521,152.4201,437.1094,49.1631,0.5697,0.4308,4.5898
695.4012,3.7322,150.9814,437.4546,50.3705,0.5479,0.4324,4.5955
695.5536,3.5145,150.1129,434.6996,51.7623,0.5685,0.4323,4.612
695.706,3.3377,148.9249,430.5085,51.3271,0.5784,0.432,4.6251
695.8584,3.1881,146.4235,426.1449,49.7172,0.579,0.4331,4.6288
696.0108,3.0416,142.6211,425.7607,49.1318,0.5154,0.4368,4.6288
696.1632,2.8837,140.3105,423.6754,49.1318,0.492,0.4384,4.6288
696.3156,2.7105,139.0785,415.3139,50.6378,0.4924,0.4368,4.6288
696.468,2.5342,138.4483,407.696,51.8136,0.4923,0.4348,4.6288
696.6204,2.3789,139.7459,400.4233,45.7766,0.4879,0.4307,4.6288
696.7728,2.2685,141.6895,395.9055,47.1214,0.4822,0.4266,4.6288
696.9252,2.214,143.3823,394.6605,44.4232,0.4947,0.424,4.6288
697.0776,2.2012,145.633,398.5249,51.7019,0.4845,0.4229,4.6288
697.23,2.1951,148.611,408.1498,50.8634,0.4818,0.4236,4.6288
697.3824,2.1597,151.2411,406.7571,53.7628,0.5027,0.4198,4.6288
697.5348,2.0843,153.633,406.1818,52.7064,0.5019,0.4165,4.6288
697.6872,1.9895,156.7646,406.1818,54.115,0.5196,0.4125,4.6288
697.8396,1.9042,160.3445,407.1002,52.7381,0.5043,0.4082,4.6288
697.992,1.851,161.8306,405.13,51.1735,0.5203,0.4051,4.6288
698.1444,1.8458,160.9249,401.9723,48.96,0.5116,0.4046,4.6288
698.2968,1.9076,159.0378,402.3729,46.3123,0.4749,0.4074,4.6288
698.4492,2.0593,157.0378,400.4027,45.7695,0.5124,0.4091,4.6288
